company_name,country,hall,booth,brands,representatives,source_page_url,source_record_url
3B DİZAYN BİLGİSAYAR MAKİNA KALIP MODEL TAS. SAN. VE TİC. LTD. ŞTİ.,Türki̇ye,12,1220 A,TopSolid TÜRKİYE,TopSolid SAS,https://www.maktekfuari.com/en/exhibitor-list,https://www.maktekfuari.com/en/brand/3b-dizayn-bilgisayar-makina-kalip-model-tas-san-ve-tic-ltd-sti
3D Lab Sp. z o.o.,Poland,9,905A,,,https://www.maktekfuari.com/en/exhibitor-list,https://www.maktekfuari.com/en/brand/3d-lab-sp-z-oo
3D TEKNO MARKET ANONIM SIRKETI,Türki̇ye,11A,23,,,https://www.maktekfuari.com/en/exhibitor-list,https://www.maktekfuari.com/en/brand/3d-tekno-market-anonim-sirketi
5T5 MAKİNA SAN VE TİC AŞ,Türki̇ye,12A,37,Bodor Laser,,https://www.maktekfuari.com/en/exhibitor-list,https://www.maktekfuari.com/en/brand/5t5-makina-san-ve-tic-as
A-RYUNG,South Korea,9,906,,,https://www.maktekfuari.com/en/exhibitor-list,https://www.maktekfuari.com/en/brand/a-ryung
ABBA TEKNOLOJİ YAZILIM HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Türki̇ye,12,1220B,,GO2CAM INTERNATIONAL,https://www.maktekfuari.com/en/exhibitor-list,https://www.maktekfuari.com/en/brand/abba-teknoloji-yazilim-hizmetleri-sanayi-ve-ticaret-limited-sirketi
Aberlink,İngi̇ltere,11,1121,,,https://www.maktekfuari.com/en/exhibitor-list,https://www.maktekfuari.com/en/brand/aberlink
ABKTEKNİK İMALAT VE MÜH ÇÖZÜMLERİ LTD.ŞTİ,Türki̇ye,12,1217,,,https://www.maktekfuari.com/en/exhibitor-list,https://www.maktekfuari.com/en/brand/abkteknik-imalat-ve-muh-cozumleri-ltdsti
ABM - ADVANCED BEARING,Tayvan,6,622,,,https://www.maktekfuari.com/en/exhibitor-list,https://www.maktekfuari.com/en/brand/abm-advanced-bearing
ABM MAKİNE SAN. VE TİC. A.Ş.,Türki̇ye,12,1228,,,https://www.maktekfuari.com/en/exhibitor-list,https://www.maktekfuari.com/en/brand/abm-makine-san-ve-tic-as
